"UserID"	"WindowID"	"Split"	"ApplicationDate"	"JobID"
197266	"1"	"Test"	2012-04-07 00:02:09	233960
1178693	"1"	"Test"	2012-04-07 00:02:11	770545
204574	"1"	"Train"	2012-04-07 00:02:19	474599
1178693	"1"	"Test"	2012-04-07 00:02:37	1008998
1178693	"1"	"Test"	2012-04-07 00:03:20	311514
197266	"1"	"Test"	2012-04-07 00:04:00	714513
1038293	"1"	"Train"	2012-04-07 00:04:32	1107057
1038293	"1"	"Train"	2012-04-07 00:04:33	62247
1038293	"1"	"Train"	2012-04-07 00:04:33	820396
1038293	"1"	"Train"	2012-04-07 00:04:34	886155
1038293	"1"	"Train"	2012-04-07 00:04:34	381771
1038293	"1"	"Train"	2012-04-07 00:04:34	325422
1038293	"1"	"Train"	2012-04-07 00:04:35	520691
57714	"1"	"Train"	2012-04-07 00:04:35	157154
790532	"2"	"Train"	2012-04-07 00:05:14	403453
1254582	"1"	"Test"	2012-04-07 00:05:57	31357
790532	"2"	"Train"	2012-04-07 00:06:13	292554
204574	"1"	"Train"	2012-04-07 00:06:21	972786
197266	"1"	"Test"	2012-04-07 00:06:24	580747
1254582	"1"	"Test"	2012-04-07 00:06:29	752689
1254582	"1"	"Test"	2012-04-07 00:06:58	782571
1254582	"1"	"Test"	2012-04-07 00:07:14	250240
111777	"1"	"Train"	2012-04-07 00:08:04	518476
1254582	"1"	"Test"	2012-04-07 00:08:10	195283
983458	"1"	"Train"	2012-04-07 00:08:50	92178
983458	"1"	"Train"	2012-04-07 00:08:51	274621
983458	"1"	"Train"	2012-04-07 00:08:52	344271
983458	"1"	"Train"	2012-04-07 00:08:52	998877
983458	"1"	"Train"	2012-04-07 00:08:52	501981
57714	"1"	"Train"	2012-04-07 00:10:27	582482
197266	"1"	"Test"	2012-04-07 00:12:57	634194
285048	"1"	"Test"	2012-04-07 00:13:13	884911
57714	"1"	"Train"	2012-04-07 00:13:45	198503
996471	"1"	"Test"	2012-04-07 00:15:49	766172
197266	"1"	"Test"	2012-04-07 00:15:58	690734
572439	"1"	"Train"	2012-04-07 00:17:05	999966
111777	"1"	"Train"	2012-04-07 00:17:28	531451
1239541	"1"	"Train"	2012-04-07 00:18:03	234872
996471	"1"	"Test"	2012-04-07 00:19:14	921538
57714	"1"	"Train"	2012-04-07 00:20:49	92336
572439	"1"	"Train"	2012-04-07 00:21:38	945302
996471	"1"	"Test"	2012-04-07 00:22:13	189149
197266	"1"	"Test"	2012-04-07 00:22:58	39075
996471	"1"	"Test"	2012-04-07 00:23:06	317573
790532	"2"	"Train"	2012-04-07 00:24:48	839376
572439	"1"	"Train"	2012-04-07 00:25:14	74924
285048	"1"	"Test"	2012-04-07 00:25:48	1086306
572439	"1"	"Train"	2012-04-07 00:25:52	941668
996471	"1"	"Test"	2012-04-07 00:27:32	508734
929813	"1"	"Train"	2012-04-07 00:27:38	297078
929813	"1"	"Train"	2012-04-07 00:27:38	296701
929813	"1"	"Train"	2012-04-07 00:27:39	562999
929813	"1"	"Train"	2012-04-07 00:27:39	44581
929813	"1"	"Train"	2012-04-07 00:27:39	296702
572439	"1"	"Train"	2012-04-07 00:28:39	234276
996471	"1"	"Test"	2012-04-07 00:28:50	1078742
572439	"1"	"Train"	2012-04-07 00:29:36	1069645
929813	"1"	"Train"	2012-04-07 00:29:51	296475
929813	"1"	"Train"	2012-04-07 00:31:00	338296
157113	"2"	"Train"	2012-04-07 00:31:16	824100
929813	"1"	"Train"	2012-04-07 00:32:52	17353
1101918	"3"	"Train"	2012-04-07 00:35:19	930551
1101918	"3"	"Train"	2012-04-07 00:35:19	374313
996471	"1"	"Test"	2012-04-07 00:35:55	251060
572439	"1"	"Train"	2012-04-07 00:36:38	960134
572439	"1"	"Train"	2012-04-07 00:37:46	653089
996471	"1"	"Test"	2012-04-07 00:38:13	564099
996471	"1"	"Test"	2012-04-07 00:40:12	1042802
996471	"1"	"Test"	2012-04-07 00:41:15	314247
1026111	"1"	"Train"	2012-04-07 00:44:58	98444
790532	"2"	"Train"	2012-04-07 00:45:23	146820
1026111	"1"	"Train"	2012-04-07 00:48:24	203792
669332	"1"	"Train"	2012-04-07 00:49:28	576761
1449354	"1"	"Test"	2012-04-07 00:49:32	39939
1449354	"1"	"Test"	2012-04-07 00:49:32	936461
1449354	"1"	"Test"	2012-04-07 00:49:32	848038
1449354	"1"	"Test"	2012-04-07 00:49:32	205785
1449354	"1"	"Test"	2012-04-07 00:49:32	1033493
1449354	"1"	"Test"	2012-04-07 00:49:32	869189
1449354	"1"	"Test"	2012-04-07 00:49:32	882181
1449354	"1"	"Test"	2012-04-07 00:49:33	917704
669332	"1"	"Train"	2012-04-07 00:50:34	11623
953415	"1"	"Train"	2012-04-07 00:51:21	1060485
669332	"1"	"Train"	2012-04-07 00:52:54	846134
790532	"2"	"Train"	2012-04-07 00:53:54	332537
669332	"1"	"Train"	2012-04-07 00:54:27	14864
650941	"1"	"Test"	2012-04-07 00:54:54	367525
650941	"1"	"Test"	2012-04-07 00:54:55	812076
650941	"1"	"Test"	2012-04-07 00:54:55	465
650941	"1"	"Test"	2012-04-07 00:54:55	790418
650941	"1"	"Test"	2012-04-07 00:54:55	861113
669332	"1"	"Train"	2012-04-07 00:55:59	130364
669332	"1"	"Train"	2012-04-07 00:56:35	246498
669332	"1"	"Train"	2012-04-07 00:57:04	637025
669332	"1"	"Train"	2012-04-07 00:57:43	535339
953415	"1"	"Train"	2012-04-07 00:58:11	99558
669332	"1"	"Train"	2012-04-07 00:58:32	530713
669332	"1"	"Train"	2012-04-07 01:01:53	771770
919652	"1"	"Train"	2012-04-07 01:02:26	315986
1054953	"1"	"Test"	2012-04-07 01:04:45	788257
378247	"1"	"Test"	2012-04-07 01:05:44	818999
669332	"1"	"Train"	2012-04-07 01:06:58	10312
679785	"1"	"Train"	2012-04-07 01:08:42	873003
679785	"1"	"Train"	2012-04-07 01:09:12	662404
919652	"1"	"Train"	2012-04-07 01:10:06	1053897
919652	"1"	"Train"	2012-04-07 01:10:06	803091
